10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:20 Event RX Timeout,,,,
10:28:24 Event RX Timeout,,,,
10:28:28 Event RX Timeout,,,,
10:28:32 Event RX Timeout,,,,
10:28:36 Event RX Timeout,,,,
10:28:40 Event RX Timeout,,,,
10:28:44 Event RX Timeout,,,,
10:28:48 Event RX Timeout,,,,
10:28:52 Event RX Timeout,,,,
10:28:56 Event RX Timeout,,,,
10:29:00 Event RX Timeout,,,,
10:29:04 Event RX Timeout,,,,
10:29:08 Event RX Timeout,,,,
10:29:23 Event RX Timeout,,,,
10:29:27 Event RX Timeout,,,,
10:31:30 iOuC,305,102452,64828,-81,9
10:31:31 iOuC,305,102454,64822,-82,9
10:31:32 iOuC,305,102452,64828,-84,8
10:31:33 iOuC,305,102452,64842,-85,9
10:31:34 iOuC,305,102452,64848,-78,9
10:31:35 iOuC,305,102452,64835,-80,9
10:31:36 iOuC,305,102452,64835,-79,9
10:31:37 iOuC,305,102452,64835,-78,8
10:31:38 iOuC,305,102452,64822,-81,9
10:31:39 iOuC,305,102452,64842,-88,8
10:31:40 iOuC,305,102452,64828,-78,8
10:31:41 iOuC,305,102452,64828,-80,8
10:31:42 iOuC,305,102452,64822,-83,9
10:31:44 iOuC,305,102452,64835,-80,9
10:31:45 iOuC,305,102452,64822,-77,8
10:31:46 iOuC,305,102452,64842,-78,9
10:31:47 iOuC,305,102452,64828,-78,10
10:31:48 iOuC,305,102452,64828,-85,8
10:31:49 iOuC,305,102452,64822,-80,9
10:31:50 iOuC,305,102452,64822,-78,9
10:31:51 iOuC,305,102452,64835,-84,8
10:31:52 iOuC,305,102452,64828,-82,8
10:31:53 iOuC,305,102452,64828,-82,8
10:31:54 iOuC,305,102452,64835,-78,9
10:31:55 iOuC,305,102454,64828,-78,9
10:31:56 iOuC,305,102454,64828,-77,9
10:31:57 iOuC,305,102454,64828,-77,8
10:31:58 iOuC,305,102452,64828,-78,9
10:31:59 iOuC,305,102452,64828,-77,8
10:32:00 iOuC,305,102452,64822,-77,9
10:32:01 iOuC,305,102450,64828,-77,8
10:32:02 iOuC,305,102452,64835,-79,8
10:32:03 iOuC,305,102452,64815,-80,9
10:32:04 iOuC,305,102452,64828,-79,8
10:32:05 iOuC,305,102452,64828,-79,9
10:32:06 iOuC,305,102452,64822,-79,8
10:32:07 iOuC,305,102452,64822,-82,9
10:32:09 iOuC,305,102452,64815,-85,9
10:32:10 iOuC,305,102452,64828,-82,9
10:32:11 iOuC,305,102450,64822,-82,9
10:32:12 iOuC,305,102452,64822,-83,9
10:32:13 iOuC,305,102452,64815,-82,9
10:32:14 iOuC,305,102452,64828,-84,8
10:32:15 iOuC,304,102452,64821,-84,8
10:32:16 iOuC,304,102450,64834,-82,9
10:32:17 iOuC,304,102450,64827,-85,8
10:32:18 iOuC,305,102450,64822,-86,8
10:32:19 iOuC,305,102450,64828,-87,8
10:32:20 iOuC,305,102450,64822,-84,8
10:32:21 iOuC,305,102450,64822,-82,9
10:32:22 iOuC,305,102450,64828,-84,8
10:32:23 iOuC,305,102450,64822,-85,8
10:32:24 iOuC,305,102450,64822,-87,8
10:32:25 iOuC,305,102450,64822,-83,8
10:32:26 iOuC,305,102450,64822,-82,9
10:32:27 iOuC,305,102450,64828,-77,10
10:32:28 iOuC,305,102448,64815,-78,9
10:32:29 iOuC,304,102448,64827,-79,8
10:32:30 iOuC,304,102448,64834,-79,8
10:32:31 iOuC,304,102448,64827,-77,9
10:32:32 iOuC,304,102448,64834,-78,9
10:32:34 iOuC,304,102448,64834,-78,9
10:32:35 iOuC,304,102446,64821,-87,8
10:32:36 iOuC,304,102446,64827,-88,8
10:32:37 iOuC,304,102446,64821,-79,8
10:32:38 iOuC,304,102446,64814,-83,9
10:32:39 iOuC,304,102446,64814,-77,9
10:32:40 iOuC,304,102446,64821,-95,8
10:32:41 iOuC,305,102446,64815,-96,8
10:32:42 iOuC,304,102444,64834,-91,8
10:32:43 iOuC,305,102444,64809,-89,9
10:32:44 iOuC,304,102444,64827,-98,7
10:32:45 iOuC,305,102446,64809,-90,8
10:32:46 iOuC,305,102446,64809,-91,8
10:32:47 iOuC,304,102446,64827,-93,8
10:32:48 iOuC,305,102446,64822,-92,8
10:32:49 iOuC,305,102446,64809,-96,7
10:32:50 iOuC,304,102446,64834,-94,8
10:32:51 iOuC,305,102446,64815,-97,7
10:32:52 iOuC,305,102446,64815,-101,6
10:32:53 iOuC,305,102446,64815,-86,9
